                        L                       Lg                        b                        a          Frequency / GHz                    Value
                        0                    173.3                    86.36                    43.18          2.2358000278473       -0.034314829856157
                        0                    173.3                    86.36                    43.18          2.2366998195648       -0.034363687038422
                        0                    173.3                    86.36                    43.18          2.2375998497009       -0.034412026405334
                        0                    173.3                    86.36                    43.18          2.2385001182556       -0.034462444484234
                        0                    173.3                    86.36                    43.18          2.2393999099731       -0.034513384103775
                        0                    173.3                    86.36                    43.18          2.2402999401093       -0.034565363079309
                        0                    173.3                    86.36                    43.18          2.2411999702454       -0.034616820514202
                        0                    173.3                    86.36                    43.18          2.2421000003815       -0.034671917557716
                        0                    173.3                    86.36                    43.18          2.2430000305176       -0.034724418073893
                        0                    173.3                    86.36                    43.18          2.2438998222351       -0.034780032932758
                        0                    173.3                    86.36                    43.18          2.2447998523712       -0.034834615886211
                        0                    173.3                    86.36                    43.18          2.2457001209259       -0.034889712929726
                        0                    173.3                    86.36                    43.18          2.2465999126434       -0.034946892410517
                        0                    173.3                    86.36                    43.18          2.2474999427795       -0.035004071891308
                        0                    173.3                    86.36                    43.18          2.2483997344971        -0.03506176918745
                        0                    173.3                    86.36                    43.18          2.2493000030518       -0.035121027380228
                        0                    173.3                    86.36                    43.18          2.2502000331879       -0.035179249942303
                        0                    173.3                    86.36                    43.18          2.2510998249054       -0.035239547491074
                        0                    173.3                    86.36                    43.18          2.2519998550415       -0.035299327224493
                        0                    173.3                    86.36                    43.18          2.2529001235962       -0.035359106957912
                        0                    173.3                    86.36                    43.18          2.2537999153137       -0.035420447587967
                        0                    173.3                    86.36                    43.18          2.2546999454498       -0.035480748862028
                        0                    173.3                    86.36                    43.18          2.2555999755859       -0.035543128848076
                        0                    173.3                    86.36                    43.18           2.256500005722       -0.035604991018772
                        0                    173.3                    86.36                    43.18          2.2574000358582       -0.035667892545462
                        0                    173.3                    86.36                    43.18          2.2582998275757       -0.035729754716158
                        0                    173.3                    86.36                    43.18          2.2591998577118       -0.035793699324131
                        0                    173.3                    86.36                    43.18          2.2601001262665       -0.035857640206814
                        0                    173.3                    86.36                    43.18           2.260999917984       -0.035920545458794
                        0                    173.3                    86.36                    43.18          2.2618999481201       -0.035983446985483
                        0                    173.3                    86.36                    43.18          2.2627997398376       -0.036049470305443
                        0                    173.3                    86.36                    43.18          2.2637000083923       -0.036113936454058
                        0                    173.3                    86.36                    43.18          2.2646000385284       -0.036180481314659
                        0                    173.3                    86.36                    43.18           2.265499830246       -0.036244947463274
                        0                    173.3                    86.36                    43.18          2.2663998603821        -0.03630993142724
                        0                    173.3                    86.36                    43.18          2.2673001289368       -0.036376476287842
